;.
Order ID;Customer ID;id sales person;Order Date;id_order prioriry;SKU;Order Quantity;Unit Sell Price;Discount;Shipping Amount;Ship Mode;id_ Product Container;Ship Date

13729;C508;1;1/01/2018;0;SKU947;9;95,99;0,08;35;12;101;3/01/2018
28774;C372;2;1/01/2018;3;SKU937;32;5,98;0,1;4,69;13;103;2/01/2018
9285;C212;1;2/01/2018;Critical;SKU363;3;40,98;0,06;2,99;13;103;4/01/2018
37537;C015;1;2/01/2018;1;SKU052;4;291,73;0;48,8;14;105;2/01/2018
37537;C015;1;2/01/2018;1;SKU063;43;100,98;0,07;45;14;105;4/01/2018
37537;C015;3;2/01/2018;1;SKU902;32;155,06;0,05;7,07;13;103;9/01/2018
44069;C256;2;2/01/2018;Critical;SKU557;16;9,11;0,09;2,15;12;107;4/01/2018
44069;C256;2;2/01/2018;Critical;SKU603;43;15,04;0,08;1,97;13;107;2/01/2018
30016;C089;2;3/01/2018;Critical;SKU731;15;5,28;0,03;5,66;13;103;5/01/2018
30016;C089;2;3/01/2018;Critical;SKU1244;8;110,99;0,01;2,5;13;103;6/01/2018
40354;C591;3;3/01/2018;3;SKU352;29;5,58;0,03;2,99;13;103;4/01/2018
40354;C591;2;3/01/2018;3;SKU235;4;212,6;0,09;52,2;14;109;4/01/2018
9637;C036;2;3/01/2018;1;SKU989;12;43,22;0,08;16,71;13;103;5/01/2018
9637;C036;1;3/01/2018;1;SKU1128;49;574,74;0,05;24,49;13;101;10/01/2018
9637;C036;3;3/01/2018;1;SKU593;12;10,14;0,04;2,27;13;107;7/01/2018
7909;C023;3;3/01/2018;3;SKU766;29;4,26;0,03;1,2;13;107;4/01/2018
9762;C453;1;3/01/2018;3;SKU083;12;20,98;0,05;21,2;13;101;4/01/2018
11972;C042;2;3/01/2018;0;SKU1124;4;213,45;0;14,7;14;105;5/01/2018
8710;C735;1;4/01/2018;Critical;SKU370;17;3,36;0,03;6,27;13;103;5/01/2018
8710;C735;2;4/01/2018;Critical;SKU540;42;3,71;0,07;1,93;12;107;6/01/2018
49730;C206;1;4/01/2018;3;SKU073;3;350,98;0,06;30;14;105;5/01/2018
52386;C731;3;5/01/2018;3;SKU1092;6;120,97;0,08;26,3;14;105;7/01/2018
1028;C507;3;5/01/2018;3;SKU1034;6;28,48;0,03;1,99;13;113;6/01/2018
1028;C507;1;5/01/2018;3;SKU1148;11;205,99;0,01;5,99;13;103;7/01/2018
32418;C495;1;5/01/2018;0;SKU057;5;243,98;0,08;43,32;14;105;6/01/2018
28451;C602;2;5/01/2018;Critical;SKU156;21;194,3;0,01;11,54;13;101;7/01/2018
28451;C602;2;5/01/2018;Critical;SKU183;41;209,84;0,02;21,21;13;101;6/01/2018
28451;C602;2;5/01/2018;Critical;SKU1123;33;145,45;0;17,85;14;105;7/01/2018
57253;C199;3;5/01/2018;Critical;SKU065;43;1,81;0,08;0,75;13;105;6/01/2018
57253;C199;3;5/01/2018;Critical;SKU054;29;20,98;0,06;53,03;14;105;7/01/2018
57253;C199;3;5/01/2018;Critical;SKU202;48;279,48;0,07;35;13;101;5/01/2018
57253;C199;3;5/01/2018;Critical;SKU251;49;4,91;0,08;5,68;13;109;6/01/2018
57253;C199;1;5/01/2018;Critical;SKU1143;25;125,99;0,04;5,26;13;103;5/01/2018
290;C241;2;5/01/2018;0;SKU578;24;7,64;0,05;5,83;13;107;6/01/2018
25601;C780;3;5/01/2018;2;SKU937;43;5,98;0,09;4,69;13;103;6/01/2018
59232;C648;1;5/01/2018;3;SKU567;23;30,98;0;5,76;13;103;7/01/2018
23488;C408;2;6/01/2018;Critical;SKU022;30;880,98;0,04;44,55;14;109;7/01/2018
48226;C177;3;6/01/2018;1;SKU008;23;100,98;0,02;35,84;14;109;6/01/2018
6854;C784;3;6/01/2018;2;SKU412;1;7,68;0,07;6,16;12;103;8/01/2018
6854;C784;1;6/01/2018;2;SKU169;19;6,64;0,05;4,95;12;113;8/01/2018
14274;C181;3;6/01/2018;0;SKU068;23;150,98;0,01;30;14;105;8/01/2018
14274;C181;3;6/01/2018;0;SKU906;46;28,28;0,01;13,99;12;101;8/01/2018
14274;C181;2;6/01/2018;0;SKU1194;2;35,99;0,03;1,1;13;103;7/01/2018
16770;C555;1;6/01/2018;Critical;SKU821;17;2,1;0,03;0,7;13;107;7/01/2018
16961;C771;2;6/01/2018;0;SKU978;27;1,7;0,06;1,99;13;113;7/01/2018
