"Order ID;Customer ID;id sales person;Order Date;id_order prioriry;SKU;Order Quantity;Unit Sell Price;Discount;Shipping Amount;Ship Mode;id_ Product Container;Ship Date"

"2277;C236;3;1/01/2020;0;SKU1005;10;5,98;0,01;4,38;13;113;2/01/2020"
"2277;C236;3;1/01/2020;0;SKU602;21;40,99;0,06;19,99;13;103;3/01/2020"
"16262;C465;1;1/01/2020;1;SKU552;11;5,18;0,06;2,04;12;107;8/01/2020"
"17058;C296;1;1/01/2020;3;SKU647;15;4,28;0,04;6,72;13;103;2/01/2020"
"52640;C719;1;1/01/2020;2;SKU401;18;63,98;0,05;19,99;12;103;4/01/2020"
"10144;C708;1;2/01/2020;4;SKU054;16;355,98;0,08;58,92;14;105;4/01/2020"
"10144;C708;2;2/01/2020;4;SKU072;1;160,98;0,02;30;14;105;4/01/2020"
"10144;C708;3;2/01/2020;4;SKU242;24;280,98;0,1;35,67;14;109;2/01/2020"
"10436;C424;3;2/01/2020;1;SKU816;24;5,84;0,09;1;13;107;9/01/2020"
"24033;C719;1;2/01/2020;3;SKU215;50;23,99;0;15,68;14;105;4/01/2020"
"25188;C781;3;3/01/2020;2;SKU1178;20;85,99;0;2,5;13;103;5/01/2020"
"4006;C355;3;3/01/2020;2;SKU580;38;37,94;0,06;5,08;13;107;4/01/2020"
"9221;C159;2;3/01/2020;1;SKU280;9;3,25;0,03;49;13;101;7/01/2020"
"9221;C159;3;3/01/2020;1;SKU496;25;60,98;0,04;19,99;13;103;7/01/2020"
"54528;C621;3;4/01/2020;2;SKU750;17;11,66;0,01;8,99;13;113;6/01/2020"
"54528;C621;3;4/01/2020;2;SKU829;8;10,48;0,06;2,89;13;113;6/01/2020"
"58054;C212;3;4/01/2020;3;SKU152;26;2,08;0,04;5,33;13;103;4/01/2020"
"54528;C621;2;4/01/2020;2;SKU833;15;6,08;0,03;0,91;13;107;5/01/2020"
"52486;C241;3;4/01/2020;0;SKU995;41;300,97;0,1;7,18;13;103;5/01/2020"
"802;C433;3;4/01/2020;4;SKU378;33;11,7;0,08;5,63;13;103;6/01/2020"
