.
Order ID,Customer ID,id sales person,Order Date,id_order prioriry,SKU,Order Quantity,Unit Sell Price,Discount,Shipping Amount,Ship Mode,id_ Product Container,Ship Date

29030,C660,3,1/01/2021,2,SKU814,10,19.84,0.05,4.1,13,107,2/01/2021
47591,C198,1,1/01/2021,4,SKU957,27,10.48,0.1,6.91,13,103,2/01/2021
54214,C628,1,1/01/2021,2,SKU1076,38,199.99,0.04,24.49,12,101,4/01/2021
10945,C623,1,2/01/2021,2,SKU1158,14,95.99,0.04,8.99,13,103,4/01/2021
50471,C219,1,2/01/2021,1,SKU059,25,226.67,0.02,28.16,14,105,4/01/2021
16164,C278,2,2/01/2021,1,SKU1113,26,90.97,0.03,14,14,105,6/01/2021
43494,C375,1,2/01/2021,2,SKU1129,2,1938.02,0.09,13.99,13,111,3/01/2021
16164,C278,2,2/01/2021,1,SKU481,22,162.93,0.07,19.99,13,103,11/01/2021
16164,C278,1,2/01/2021,1,SKU745,26,2.52,0.08,4.28,13,107,9/01/2021
35811,C163,1,2/01/2021,4,SKU482,49,15.57,0.1,1.39,13,103,3/01/2021
35811,C163,1,2/01/2021,4,SKU781,6,1.76,0.1,0.7,13,107,4/01/2021
7107,C715,3,3/01/2021,0,SKU124,3,54.2,0.02,11.1,13,111,3/01/2021
7107,C715,2,3/01/2021,0,SKU580,3,37.94,0.06,5.08,13,107,5/01/2021
7107,C715,1,3/01/2021,0,SKU943,32,55.29,0.1,5.08,13,103,4/01/2021
39619,C442,2,3/01/2021,1,SKU155,15,49.34,0.02,10.25,13,101,7/01/2021
31555,C374,1,3/01/2021,4,SKU180,38,88.84,0,20.79,13,101,3/01/2021
31555,C374,1,3/01/2021,4,SKU1114,5,90.97,0.02,28,14,105,6/01/2021
44646,C501,1,3/01/2021,1,SKU969,47,279.48,0.08,35,13,101,7/01/2021
55011,C017,2,3/01/2021,4,SKU775,48,9.85,0.09,4.82,13,107,4/01/2021
55011,C017,2,3/01/2021,4,SKU810,18,2.94,0.01,0.81,13,107,4/01/2021
10432,C708,2,4/01/2021,1,SKU1049,13,179.99,0.08,19.99,13,103,11/01/2021
13444,C606,1,4/01/2021,3,SKU611,33,4.76,0.06,0.88,13,107,7/01/2021
5601,C295,2,4/01/2021,3,SKU092,10,12.22,0.1,2.85,13,113,5/01/2021
52516,C684,2,4/01/2021,3,SKU1103,50,119.99,0.08,56.14,14,109,4/01/2021
52516,C684,2,4/01/2021,3,SKU871,19,10.23,0.08,4.68,12,113,7/01/2021
25442,C304,1,4/01/2021,3,SKU619,32,55.48,0.08,4.85,13,103,6/01/2021
16036,C322,2,4/01/2021,2,SKU894,28,80.98,0.09,35,13,101,5/01/2021
25442,C304,2,4/01/2021,3,SKU612,40,11.34,0.02,5.01,13,103,6/01/2021
16036,C322,3,4/01/2021,2,SKU379,28,5.81,0.05,8.49,13,103,6/01/2021
16036,C322,1,4/01/2021,2,SKU1216,10,155.99,0.07,8.08,13,103,5/01/2021
16036,C322,3,4/01/2021,2,SKU940,33,17.7,0.1,9.47,13,103,5/01/2021
4800,C517,3,4/01/2021,1,SKU382,4,8.04,0.05,8.94,13,103,11/01/2021
4800,C517,1,4/01/2021,1,SKU515,17,4.91,0.01,0.5,13,103,11/01/2021
4800,C517,2,4/01/2021,1,SKU779,7,11.55,0.07,2.36,13,107,9/01/2021
56645,C323,2,5/01/2021,1,SKU680,46,30.98,0.02,17.08,13,103,5/01/2021
